Day,Date,SPY_Close,Status,Capital_Deployed,Unrealized_PnL,PnL_Pct,Portfolio_Value,Benchmark_Value,Benchmark_Return_Pct,Strategy_Return_Pct,Alpha_Pct,Reference_IfHeld,Signal_Saved
Day 44,2026-05-08,735.65,Long 55 SPY (T8),39746.83,713.92,1.796,100731.78,109036.87,9.037,0.7318,-8.305,692.14,496.68
Day 45,2026-05-11,737.3,Long 55 SPY (T8),39746.83,804.67,2.024,100822.53,109281.43,9.281,0.8225,-8.458,708.64,480.18
Day 46,2026-05-12,736.29,Long 55 SPY (T8),39746.83,749.12,1.885,100766.98,109131.73,9.132,0.767,-8.365,698.54,490.28
Day 47,2026-05-13,740.39,Long 55 SPY (T8),39746.83,974.62,2.452,100992.48,109739.42,9.739,0.9925,-8.747,739.54,449.28
Day 48,2026-05-14,746.18,Long 55 SPY (T8),39746.83,1293.07,3.253,101310.93,110597.61,10.598,1.3109,-9.287,797.44,391.38
Day 49,2026-05-15,737.2,Long 55 SPY (T8),39746.83,799.17,2.011,100817.03,109266.6,9.267,0.817,-8.45,707.64,481.18
Day 50,2026-05-18,736.5,Long 55 SPY (T8),39746.83,760.67,1.914,100778.53,109162.85,9.163,0.7785,-8.385,700.64,488.18
Day 51,2026-05-19,731.91,Long 55 SPY (T8),39746.83,508.22,1.279,100526.08,108482.53,8.483,0.5261,-7.957,654.74,534.08
Day 52,2026-05-20,739.41,Long 55 SPY (T8),39746.83,920.72,2.316,100938.58,109594.17,9.594,0.9386,-8.655,729.74,459.08
Day 53,2026-05-21,740.8,Long 55 SPY (T8),39746.83,997.17,2.509,101015.03,109800.19,9.8,1.015,-8.785,743.64,445.18
Day 54,2026-05-22,743.75,Long 55 SPY (T8),39746.83,1159.42,2.917,101177.28,110237.44,10.237,1.1773,-9.06,773.14,415.68
Day 55,2026-05-26,748.53,Long 55 SPY (T8),39746.83,1422.32,3.578,101440.18,110945.92,10.946,1.4402,-9.506,820.94,367.88
Day 56,2026-05-27,748.66,Long 55 SPY (T8),39746.83,1429.47,3.596,101447.33,110965.19,10.965,1.4473,-9.518,822.24,366.58
Day 57,2026-05-28,752.74,Long 55 SPY (T8),39746.83,1653.87,4.161,101671.73,111569.92,11.57,1.6717,-9.898,863.04,325.78
Day 58,2026-05-29,754.4,Long 55 SPY (T8),39746.83,1745.17,4.391,101763.03,111815.96,11.816,1.763,-10.053,879.64,309.18
Day 59,2026-06-01,756.49,Long 55 SPY (T8),39746.83,1860.12,4.68,101877.98,112125.74,12.126,1.878,-10.248,900.54,288.28
Day 60,2026-06-02,757.52,Long 55 SPY (T8),39746.83,1916.77,4.822,101934.63,112278.4,12.278,1.9346,-10.343,910.84,277.98
Day 61,2026-06-03,752.24,Long 55 SPY (T8),39746.83,1626.37,4.092,101644.23,111495.81,11.496,1.6442,-9.852,858.04,330.78
Day 62,2026-06-04,755.03,Long 55 SPY (T8),39746.83,1779.82,4.478,101797.68,111909.34,11.909,1.7977,-10.111,885.94,302.88
Day 63,2026-06-05,735.56,Long 55 SPY (T8),39746.83,708.97,1.784,100726.83,109023.53,9.024,0.7268,-8.297,691.24,497.58
Day 64,2026-06-08,737.34,Long 55 SPY (T8),39746.83,806.87,2.03,100824.73,109287.36,9.287,0.8247,-8.462,709.04,479.78
Day 65,2026-06-09,735.18,Long 55 SPY (T8),39746.83,688.07,1.731,100705.93,108967.2,8.967,0.7059,-8.261,687.44,501.38
Day 66,2026-06-10,723.72,Long 55 SPY (T8),39746.83,57.77,0.145,100075.63,107268.62,7.269,0.0756,-7.193,572.84,615.98
Day 67,2026-06-11,735.77,Long 55 SPY (T8),39746.83,720.52,1.813,100738.38,109054.65,9.055,0.7384,-8.317,693.34,495.48
Day 68,2026-06-12,739.76,Long 55 SPY (T8),39746.83,939.97,2.365,100957.83,109646.04,9.646,0.9578,-8.688,733.24,455.58
Day 69,2026-06-15,752.81,Long 55 SPY (T8),39746.83,1657.72,4.171,101675.58,111580.29,11.58,1.6756,-9.904,863.74,325.08
Day 70,2026-06-16,748.65,Long 55 SPY (T8),39746.83,1428.92,3.595,101446.78,110963.71,10.964,1.4468,-9.517,822.14,366.68
Day 71,2026-06-17,739.12,FLAT,0.0,0.0,0.0,101189.93,109551.18,9.551,1.1899,-8.361,726.84,461.98
Day 72,2026-06-18,746.75,FLAT,0.0,0.0,0.0,101189.93,110682.09,10.682,1.1899,-9.492,803.14,385.68
Day 73,2026-06-22,744.27,FLAT,0.0,0.0,0.0,101188.82,110314.51,10.315,1.1888,-9.126,778.34,410.48
Day 74,2026-06-23,733.62,FLAT,0.0,0.0,0.0,101188.82,108735.98,8.736,1.1888,-7.547,671.84,516.98
